"Population and dwelling counts, for Canada and census divisions, 2011 and 2006 censuses"
"Geographic code","Geographic name","Geographic type","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011","Provincial/territorial population rank, 2011"
"01","Canada",,T,33476688,31612897,F,5.9,14569633,13320614,8965121.4248,3.7341,
"1001","Division No.  1 (N.L.)",CDR,F,262410,248418,F,5.6,120500,105921,9218.5445,28.4654,26,1
"1002","Division No.  2 (N.L.)",CDR,F,21351,22298,F,-4.2,11648,8796,6098.6036,3.5010,212,7
"1003","Division No.  3 (N.L.)",CDR,F,16306,17686,F,-7.8,8346,6718,19912.4211,0.8189,248,10
"1004","Division No.  4 (N.L.)",CDR,F,20840,21168,F,-1.5,11232,9052,7087.6467,2.9403,217,8
"1005","Division No.  5 (N.L.)",CDR,F,41004,40805,F,0.5,19287,16676,10366.4742,3.9554,142,2
"1006","Division No.  6 (N.L.)",CDR,F,37304,36208,F,3.0,18537,15451,16238.1616,2.2973,152,3
"1007","Division No.  7 (N.L.)",CDR,F,34686,35501,F,-2.3,19843,14292,9672.8707,3.5859,164,5
"1008","Division No.  8 (N.L.)",CDR,F,37121,38937,F,-4.7,20739,15418,9314.5705,3.9853,154,4
"1009","Division No.  9 (N.L.)",CDR,F,16786,18084,F,-7.2,9120,6834,13526.6611,1.2410,246,9
"1010","Division No. 10 (N.L.)",CDR,F,24111,23950,F,0.7,10128,8877,199703.3526,0.1207,194,6
"1011","Division No. 11 (N.L.)",CDR,F,2617,2414,F,8.4,895,807,69371.4527,0.0377,291,11
"1101","Kings (P.E.I.)",CTY,F,17990,18608,F,-3.3,9607,7173,1685.7950,10.6715,236,3
"1102","Queens (P.E.I.)",CTY,F,77866,72744,F,7.0,36213,31413,2020.4451,38.5390,81,1
"1103","Prince (P.E.I.)",CTY,F,44348,44499,F,-0.3,21123,17876,1979.4896,22.4038,130,2
"1201","Shelburne (N.S.)",CTY,F,14496,15544,F,-6.7,7907,6374,2464.6548,5.8816,255,14
"1202","Yarmouth (N.S.)",CTY,F,25275,26277,F,-3.8,12317,10788,2124.6414,11.8961,191,9
"1203","Digby (N.S.)",CTY,F,18036,18992,F,-5.0,10015,7990,2515.2279,7.1707,234,12
"1204","Queens (N.S.)",CTY,F,10960,11212,F,-2.2,6446,4815,2398.6328,4.5693,269,15
"1205","Annapolis (N.S.)",CTY,F,20756,21438,F,-3.2,11166,9228,3188.4767,6.5097,218,10
"1206","Lunenburg (N.S.)",CTY,F,47313,47150,F,0.3,25263,20797,2909.8998,16.2593,124,5
"1207","Kings (N.S.)",CTY,F,60589,60035,F,0.9,28178,25330,2126.1120,28.4976,101,3
"1208","Hants (N.S.)",CTY,F,42304,41182,F,2.7,18141,16742,3051.7347,13.8623,136,7
"1209","Halifax (N.S.)",CTY,F,390328,372858,F,4.7,177295,165153,5495.7148,71.0241,20,1
"1210","Colchester (N.S.)",CTY,F,50968,50023,F,1.9,24478,21657,3627.9437,14.0487,114,4
"1211","Cumberland (N.S.)",CTY,F,31353,32046,F,-2.2,18422,13699,4272.6525,7.3381,174,8
"1212","Pictou (N.S.)",CTY,F,45643,46513,F,-1.9,22192,19468,2845.6167,16.0398,128,6
"1213","Guysborough (N.S.)",CTY,F,8143,9058,F,-10.1,5310,3686,4044.2317,2.0135,281,17
"1214","Antigonish (N.S.)",CTY,F,19589,18836,F,4.0,9591,7857,1457.8149,13.4372,225,11
"1215","Inverness (N.S.)",CTY,F,17947,19036,F,-5.7,9577,7437,3830.3960,4.6854,239,13
"1216","Richmond (N.S.)",CTY,F,9293,9740,F,-4.6,4947,3934,1244.2393,7.4688,277,16
"1217","Cape Breton (N.S.)",CTY,F,101619,105928,F,-4.1,46632,42325,2470.5984,41.1313,60,2
"1218","Victoria (N.S.)",CTY,F,7115,7594,F,-6.3,4278,2999,2870.8470,2.4784,282,18
"1301","Saint John (N.B.)",CT ,F,76550,74621,F,2.6,36426,33315,1464.5281,52.2694,83,4
