"Population and dwelling counts, for population centres, 2011 and 2006 censuses"
"Geographic code","Geographic name","Population centre size group","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
"0001","Acton (Ont.)","Small",F,9704,10172,T,-4.6,3645,3599,16.4017,591.6460,206,70
"0002","Acton Vale (Que.)","Small",F,5293,5236,F,1.1,2404,2318,5.4619,969.0767,323,69
"0003","Airdrie (Alta.)","Medium",F,42564,28927,T,47.1,15638,15024,33.0981,1285.9953,66,8
"0005","Alençon (Que.)","Small",F,1595,1462,F,9.1,704,667,2.9888,533.6590,735,178
"0006","Alexandria (Ont.)","Small",F,3209,3287,F,-2.4,1521,1464,4.1540,772.5084,448,140
"0007","Alfred (Ont.)","Small",F,1350,1340,F,0.7,646,615,2.2573,598.0596,810,238
"0008","Alliston (Ont.)","Small",F,15379,12523,F,22.8,6298,6099,16.9020,909.8923,134,47
"0009","Alma (Que.)","Small",F,26016,25394,F,2.4,11760,11398,41.0982,633.0204,89,20
"0010","Almonte (Ont.)","Small",F,4752,4538,F,4.7,2029,1991,4.4107,1077.3800,344,109
"0011","Altona (Man.)","Small",F,4123,3746,F,10.1,1638,1608,9.4588,435.8904,380,13
"0012","Amherst (N.S.)","Small",F,9811,9598,T,2.2,4855,4446,12.1875,805.0051,205,8
"0014","Amherstburg (Ont.)","Small",F,13330,13499,T,-1.3,5310,5151,15.5744,855.8917,151,51
"0015","Amos (Que.)","Small",F,9400,9499,T,-1.0,4488,4276,7.9074,1188.7599,211,44
"0016","Amqui (Que.)","Small",F,4557,4519,F,0.8,2138,2090,5.2197,873.0387,352,78
"0018","Angus - Borden CFB-BFC (Ont.)","Small",F,8603,8615,F,-0.1,3372,3033,38.9070,221.1170,221,74
"0019","Antigonish (N.S.)","Small",F,5084,4712,T,7.9,2879,2268,6.0094,846.0079,330,13
"0020","Armstrong (B.C.)","Small",F,4830,4258,F,13.4,2076,1994,5.1977,929.2572,338,47
"0021","Arnprior (Ont.)","Small",F,10099,9076,F,11.3,4542,4402,18.0738,558.7646,197,65
"0022","Arthur (Ont.)","Small",F,2421,2327,F,4.0,958,931,4.2943,563.7706,554,170
"0023","Asbestos (Que.)","Small",F,7312,7017,F,4.2,3554,3329,30.0055,243.6887,248,51
"0024","Ashcroft (B.C.)","Small",F,1628,1664,F,-2.2,803,758,7.6337,213.2649,727,83
"0025","Assiniboia (Sask.)","Small",F,2418,2305,F,4.9,1241,1147,3.7795,639.7672,555,25
"0028","Atikokan (Ont.)","Small",F,2730,3230,F,-15.5,1429,1243,14.8861,183.3926,502,156
"0030","Aylmer (Ont.)","Small",F,7249,7163,F,1.2,2917,2813,6.2252,1164.4606,250,83
"0031","Ayr (Ont.)","Small",F,4380,4158,T,5.3,1511,1491,6.5008,673.7632,367,116
"0036","Baie-Comeau (Que.)","Small",F,9917,10178,F,-2.6,4547,4330,11.2964,877.8903,203,42
"0037","Baie-Saint-Paul (Que.)","Small",F,4535,4563,T,-0.6,2173,2043,5.9946,756.5142,355,79
"0038","Golden (Ont.)","Small",F,1220,1392,F,-12.4,575,473,1.2849,949.4902,854,252
"0040","Banff (Alta.)","Small",F,7584,6700,F,13.2,2850,2565,4.8771,1555.0225,238,33
"0041","Barraute (Que.)","Small",F,1097,1133,F,-3.2,501,496,1.2607,870.1515,904,234
"0042","Barrhead (Alta.)","Small",F,4432,4209,F,5.3,1932,1805,8.0992,547.2145,363,50
"0043","Barrie (Ont.)","Large urban",F,166634,157501,F,5.8,65158,61342,171.9680,968.9826,19,9
