Toronto,ON,2615060,,43.7,-79.4
Metro Vancouver,BC,2313328,Burnaby,49.24944,-122.97972
Montreal,QC,1886481,Montreal,45.5,-73.567
Division No. 6,AB,1311022,Calgary,50.75,-113.972
Peel[N 3],ON,1296814,Brampton,43.617,-79.617
Division No. 11,AB,1203115,Edmonton,53.543997,-113.489856
York,ON,1032524,Newmarket,44.05139,-79.48028
Ottawa,ON,883391,,45.417,-75.683
Division No. 11,MB,666832,Winnipeg,49.85,-97.20833
Durham,ON,608124,Whitby,43.917,-78.933
"""Quebec City""[N 4]",QC,551902,,46.816667,-71.216667
Hamilton,ON,519949,,43.25,-79.867
Waterloo,ON,507096,Kitchener,43.467,-80.5
Halton[N 3],ON,501669,Milton,43.467,-79.867
Simcoe,ON,446063,Barrie,44.583,-79.733
Middlesex,ON,439151,London,43,-81.5
Niagara,ON,431346,Thorold,43.05,-79.3
Laval,QC,401553,,45.583,-73.75
Longueuil,QC,399097,,45.533,-73.517
Halifax,NS,390328,Halifax,44.64778,-63.57139
Essex,ON,388782,Windsor,42.167,-82.783
Capital,BC,359991,Victoria,48.429286,-123.366097
Fraser Valley,BC,277593,Abbotsford,49.58333,-121.83333
Division No. 11,SK,271170,Saskatoon,52.117,-106.65
Gatineau,QC,265349,,45.483,-75.65
Division No. 1,NL,262410,St. John's,47.55,-52.7
Division No. 6,SK,237746,Regina,50.433,-104.617
Wellington County,ON,208360,Guelph,43.75,-80.4
Division No. 8,AB,189243,Red Deer,52.267,-113.8
Central Okanagan,BC,179839,Kelowna,49.888028,-119.495417
Le Saguenay-et-son-Fjord,QC,165211,Saguenay,48.45,-70.9
Roussillon,QC,162187,Delson,45.367,-73.567
Greater Sudbury,ON,160376,,46.49,-81.01
Division No. 2,AB,156536,Lethbridge,49.76,-112.26
Sherbrooke,QC,154601,,45.4,-71.9
Thérèse-De Blainville[N 5],QC,154144,Boisbrand,45.667,-73.883
Frontenac,ON,149738,Kingston,44.667,-76.7
Francheville,QC,149203,"Trois-Rivières, Saint-Luc-de-Vincennes",46.5,-72.417
Les Moulins,QC,148813,Terrebonne,45.75,-73.6
Nanaimo,BC,146574,Nanaimo,49.25,-124.33333
Thunder Bay,ON,146057,Thunder Bay,50,-88
Westmorland,NB,144158,Dorchester,46.06,-64.51
Vaudreuil-Soulanges,QC,139353,Vaudreuil-Dorion,45.35,-74.217
Lévis,QC,138769,,46.8,-71.183
Brant,ON,136035,Brantford,43.117,-80.367
Hastings,ON,134934,Belleville,44.75,-77.583
Peterborough,ON,134933,Peterborough,44.5,-78.167
Thompson-Nicola,BC,128473,Kamloops,51,-120.5
Lambton,ON,126199,Plympton-Wyoming,42.9,-82.1
L'Assomption[N 6],QC,119840,L'Assomption,45.8,-73.433
La Vallée-de-Richelieu,QC,116773,Beloeil,45.567,-73.2
Algoma District,ON,115870,Sault Ste. Marie,48,-84.5
La Rivière-du-Nord,QC,115165,Saint-Jérôme,45.817,-74.017
Le Haut-Richelieu,QC,114344,Saint-Jean-sur-Richelieu,45.2,-73.233
"Stormont, Dundas and Glengarry",ON,111164,Cornwall,45.167,-74.95
Division No. 19,AB,109712,Grande Prairie,55.17806,-118.78333
Haldimand-Norfolk,ON,109118,,42.933,-79.883
Oxford,ON,105719,Woodstock,42.967,-80.8
Chatham-Kent,ON,104075,,42.4,-82.18333
Cape Breton,NS,101619,Sydney,46.15,-60.167
Renfrew,ON,101326,Pembroke,45.667,-77.25
Leeds and Grenville,ON,99306,Brockville,44.833,-75.667
Drummond,QC,98681,Drummondville,45.883,-72.483
York[N 7],NB,97238,Fredericton,46,-67
Deux-Montagnes[N 5],QC,95670,Deux-Montagnes,45.467,-74.1
Division No. 10,AB,93039,Camrose,53.28,-110.01
Grey,ON,92568,Owen Sound,44.333,-80.667
Fraser-Fort George,BC,91879,Prince George,53.91,-122.77
Elgin,ON,87461,St. Thomas,42.75,-81.167
Prescott and Russell,ON,85381,L'Orignal,45.467,-74.833
La Haute-Yamaska[N 8],QC,85042,Granby,45.4,-72.733
Nipissing,ON,84736,North Bay,46.3,-79.45
Les Maskoutains,QC,84248,Saint-Hyacinthe,45.617,-72.95
Division No. 15,SK,83725,Prince Albert,53.2,-105.75
Northumberland,ON,82126,Cobourg,44.117,-78.033
North Okanagan,BC,81237,Coldstream,50.45,-119.18
Cochrane,ON,81122,Timmins,50.5,-83
Okanagan-Similkameen,BC,80742,Penticton,49.41667,-120
