Toronto,ON,2615060,Toronto
Metro Vancouver,BC,2313328,Burnaby
Montreal,QC,1886481,Montreal
Division No. 6,AB,1311022,Calgary
Peel[N 3],ON,1296814,Brampton
Division No. 11,AB,1203115,Edmonton
York,ON,1032524,Newmarket
Ottawa,ON,883391,Ottawa
Division No. 11,MB,666832,Winnipeg
Durham,ON,608124,Whitby
"""Quebec City""[N 4]",QC,551902,Quebec City
Hamilton,ON,519949,Hamilton
Waterloo,ON,507096,Kitchener
Halton[N 3],ON,501669,Milton
Simcoe,ON,446063,Barrie
Middlesex,ON,439151,London
Niagara,ON,431346,Thorold
Laval,QC,401553,Laval
Longueuil,QC,399097,Longueuil
Halifax,NS,390328,Halifax
Essex,ON,388782,Windsor
Capital,BC,359991,Victoria
Fraser Valley,BC,277593,Abbotsford
Division No. 11,SK,271170,Saskatoon
Gatineau,QC,265349,Gatineau
Division No. 1,NL,262410,St. John's
Division No. 6,SK,237746,Regina
Wellington County,ON,208360,Guelph
Division No. 8,AB,189243,Red Deer
Central Okanagan,BC,179839,Kelowna
Le Saguenay-et-son-Fjord,QC,165211,Saguenay
Roussillon,QC,162187,Delson
Greater Sudbury,ON,160376,Greater Sudbury
Division No. 2,AB,156536,Lethbridge
Sherbrooke,QC,154601,Sherbrooke
Thérèse-De Blainville[N 5],QC,154144,Boisbrand
Frontenac,ON,149738,Kingston
Francheville,QC,149203,"Trois-Rivières, Saint-Luc-de-Vincennes"
Les Moulins,QC,148813,Terrebonne
Nanaimo,BC,146574,Nanaimo
Thunder Bay,ON,146057,Thunder Bay
Westmorland,NB,144158,Dorchester
Vaudreuil-Soulanges,QC,139353,Vaudreuil-Dorion
Lévis,QC,138769,Lévis
Brant,ON,136035,Brantford
Hastings,ON,134934,Belleville
Peterborough,ON,134933,Peterborough
Thompson-Nicola,BC,128473,Kamloops
Lambton,ON,126199,Plympton-Wyoming
L'Assomption[N 6],QC,119840,L'Assomption
La Vallée-de-Richelieu,QC,116773,Beloeil
Algoma District,ON,115870,Sault Ste. Marie
La Rivière-du-Nord,QC,115165,Saint-Jérôme
Le Haut-Richelieu,QC,114344,Saint-Jean-sur-Richelieu
"Stormont, Dundas and Glengarry",ON,111164,Cornwall
Division No. 19,AB,109712,Grande Prairie
Haldimand-Norfolk,ON,109118,Haldimand-Norfolk
Oxford,ON,105719,Woodstock
Chatham-Kent,ON,104075,Chatham-Kent
Cape Breton,NS,101619,Sydney
Renfrew,ON,101326,Pembroke
Leeds and Grenville,ON,99306,Brockville
Drummond,QC,98681,Drummondville
York[N 7],NB,97238,Fredericton
Deux-Montagnes[N 5],QC,95670,Deux-Montagnes
Division No. 10,AB,93039,Camrose
Grey,ON,92568,Owen Sound
Fraser-Fort George,BC,91879,Prince George
Elgin,ON,87461,St. Thomas
Prescott and Russell,ON,85381,L'Orignal
La Haute-Yamaska[N 8],QC,85042,Granby
Nipissing,ON,84736,North Bay
Les Maskoutains,QC,84248,Saint-Hyacinthe
Division No. 15,SK,83725,Prince Albert
Northumberland,ON,82126,Cobourg
North Okanagan,BC,81237,Coldstream
Cochrane,ON,81122,Timmins
Okanagan-Similkameen,BC,80742,Penticton
Cowichan Valley,BC,80332,Duncan
Division No. 1,AB,78694,Medicine Hat
Queens,PEI,77866,Charlottetown
Gloucester,NB,77792,Bathurst
Saint John,NB,76550,Saint John
Perth,ON,75112,Stratford
"Lajemmerais
in future, Marguerite-D'Youville[N 9]",QC,74416,Verchères
Kawartha Lakes,ON,73214,Lindsay
Kings,NB,69665,Hampton
Arthabaska,QC,69237,Victoriaville
Division No. 13,AB,68919,Athabasca
Division No. 16,AB,67516,Fort McMurray
Bruce,ON,66102,Walkerton
Lanark,ON,65667,Perth
Division No. 2,MB,65374,Steinbach
Division No. 7,MB,64317,Brandon
Joliette[N 6],QC,63551,Joliette
Comox Valley[N 10],BC,63538,Courtenay
Division No. 12,AB,63427,St. Paul
Cariboo,BC,62392,Williams Lake
Beauharnois-Salaberry,QC,61950,Beauharnois
Division No. 17,AB,61504,Slave Lake
Kings,NS,60589,Kentville
Peace River,BC,60082,Dawson Creek
Huron,ON,59100,Goderich
Central Kootenay,BC,58441,Nelson
Muskoka,ON,58047,Bracebridge
Kenora,ON,57607,Kenora
Dufferin,ON,56881,Orangeville
East Kootenay,BC,56685,Cranbrook
Brome-Missisquoi[N 8],QC,55621,Cowansville
Rimouski-Neigette,QC,55095,Rimouski
Division No. 5,AB,53263,Drumheller
Lac-Saint-Jean-Est,QC,52520,Alma
Division No. 3,MB,51350,Winkler
